City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
288,Madang,PG,79.88,overcast clouds,-5.2246,145.7966,
290,Kirakira,SB,82.24,overcast clouds,-10.4544,161.9205,
293,Pokaran,IN,89.28,overcast clouds,26.9167,71.9167,
301,Cuauhtemoc,MX,75.02,broken clouds,28.4167,-106.8667,
304,Kavieng,PG,82.31,broken clouds,-2.5744,150.7967,
308,Paratinga,BR,79.99,scattered clouds,-12.6906,-43.1842,
309,Pingliang,CN,77.4,overcast clouds,35.5392,106.6861,
313,Castel San Giovanni,IT,75.58,overcast clouds,45.0583,9.4335,
314,Hasaki,JP,84.6,clear sky,35.7333,140.8333,
320,Nabire,ID,77.85,overcast clouds,-3.3667,135.4833,
321,Sao Jose Da Coroa Grande,BR,76.28,broken clouds,-8.8978,-35.1478,
325,Torbat-E Jam,IR,77.16,clear sky,35.244,60.6225,
331,Brockville,CA,86.14,broken clouds,44.5834,-75.6826,
332,Brewster,US,89.92,clear sky,41.3973,-73.6171,
334,Westport,US,89.11,clear sky,41.1415,-73.3579,
338,Tamiahua,MX,85.62,clear sky,21.2667,-97.45,
341,Mandera,KE,75.76,broken clouds,3.9366,41.867,
344,Mahon,ES,81.16,clear sky,39.8885,4.2658,
345,Weihai,CN,81.25,heavy intensity rain,37.5017,122.1136,
346,Roblin,CA,75.18,clear sky,51.23,-101.3565,
348,Wanning,CN,80.28,overcast clouds,18.8003,110.3967,
353,Hamilton,US,89.74,clear sky,39.1834,-84.5333,
355,Broome,US,86.77,few clouds,42.2506,-75.833,
360,Palasa,IN,77.63,moderate rain,18.7667,84.4167,
375,Mount Pleasant,US,82.99,clear sky,32.7941,-79.8626,
383,Gat,IL,79.48,clear sky,31.61,34.7642,
384,Xiantao,CN,81.03,overcast clouds,30.3833,113.4,
385,Dakar,SN,82.53,scattered clouds,14.6937,-17.4441,
386,Mopti,ML,82.18,light rain,14.6667,-4,
388,Shahreza,IR,78.39,scattered clouds,32.0339,51.8794,
389,Harindanga,IN,80.85,light rain,22.0383,88.3214,
391,Brooks,CA,85.98,clear sky,50.5834,-111.8851,
392,Besikduzu,TR,76.89,clear sky,41.052,39.2284,
393,Tazmalt,DZ,78.28,clear sky,36.3868,4.3989,
394,Itarema,BR,78.13,scattered clouds,-2.9248,-39.9167,
396,Aripuana,BR,80.17,moderate rain,-9.1667,-60.6333,
397,Cururupu,BR,75.29,scattered clouds,-1.8283,-44.8683,
401,Posse,BR,76.37,scattered clouds,-14.0931,-46.3694,
402,Muli,MV,81.36,overcast clouds,2.9167,73.5667,
404,Pacifica,US,80.91,few clouds,37.6138,-122.4869,
