,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
119,Norman Wells,65.282,-126.8329,64.44,broken clouds,52,75,9.22,CA
120,Arraial Do Cabo,-22.9661,-42.0278,71.46,broken clouds,88,75,5.75,BR
121,Champerico,14.3,-91.9167,91.94,broken clouds,75,79,11.77,GT
122,Alakurtti,66.9672,30.3491,49.37,overcast clouds,90,92,1.28,RU
123,Yantongshan,43.2919,126.0094,67.35,broken clouds,89,57,5.66,CN
124,Tonekabon,36.8163,50.8738,77.18,broken clouds,84,52,3.96,IR
125,Collie,-33.3667,116.15,51.15,overcast clouds,86,99,10.69,AU
126,Chabahar,25.2919,60.643,82.22,overcast clouds,83,97,3.98,IR
127,Upernavik,72.7868,-56.1549,42.42,overcast clouds,82,87,7.47,GL
128,Saint-Alexandre,44.2278,4.6214,80.29,clear sky,38,1,8.39,FR
129,Kilindoni,-7.9139,39.6668,75.61,broken clouds,72,60,15.21,TZ
130,Yarkovo,57.4028,67.0786,61.11,overcast clouds,76,90,4.12,RU
131,Rio Gallegos,-51.6226,-69.2181,37.45,broken clouds,81,75,13.8,AR
132,Castro,-24.7911,-50.0119,56.97,heavy intensity rain,96,100,4.23,BR
133,Quatre Cocos,-20.2078,57.7625,66.31,few clouds,77,16,7.45,MU
134,Aklavik,68.2191,-135.0107,54.46,overcast clouds,61,96,5.48,CA
135,Charters Towers,-20.1,146.2667,63.07,clear sky,34,5,13.51,AU
136,Taoudenni,22.6783,-3.9836,101.89,clear sky,10,0,9.64,ML
137,Nouadhibou,20.931,-17.0347,75.18,broken clouds,88,54,11.5,MR
138,Les Cayes,18.2,-73.75,84.42,scattered clouds,69,38,6.24,HT
139,Berekum,7.4534,-2.584,71.01,few clouds,81,24,5.75,GH
140,Porbandar,21.6422,69.6093,81.84,overcast clouds,86,100,10.8,IN
141,General Roca,-39.0333,-67.5833,38.35,overcast clouds,97,100,6.58,AR
142,Chardara,41.2547,67.9692,74.3,clear sky,42,4,4.59,KZ
143,Macapa,0.0389,-51.0664,82.38,few clouds,74,20,3.44,BR
144,Khatanga,71.9667,102.5,53.28,broken clouds,76,78,7.63,RU
145,Ilulissat,69.2167,-51.1,46.42,overcast clouds,81,100,5.75,GL
146,Vila Franca Do Campo,37.7167,-25.4333,72.01,light rain,88,34,7.09,PT
147,Tomaszow Mazowiecki,51.5313,20.0086,59.56,broken clouds,10,59,5.99,PL
148,Vestmannaeyjar,63.4427,-20.2734,51.8,broken clouds,86,81,18.77,IS
149,Yulara,-25.2406,130.9889,49.42,clear sky,43,0,11.12,AU
150,Raub,3.7899,101.857,72.72,overcast clouds,95,88,0.92,MY
151,Manta,-0.95,-80.7333,74.98,broken clouds,78,75,8.05,EC
152,Zhanaozen,43.3,52.8,77.54,broken clouds,27,84,12.41,KZ
153,Chumikan,54.7183,135.315,52.65,light rain,96,100,22.17,RU
154,Esperance,-33.8667,121.9,48.78,clear sky,85,0,14.52,AU
155,Khani,41.9563,42.9566,63.97,overcast clouds,97,88,1.45,GE
156,Coquimbo,-29.9533,-71.3436,58.73,clear sky,67,0,9.22,CL
157,Nishihara,26.1842,127.7558,83.48,few clouds,84,20,4.61,JP
158,Bluff,-46.6,168.3333,39.79,scattered clouds,57,38,19.91,NZ
159,Mbuyapey,-26.2,-56.75,60.3,overcast clouds,88,99,4.61,PY
160,Mocuba,-16.8392,36.9856,60.62,clear sky,97,0,2.01,MZ
161,Ostrovnoy,68.0531,39.5131,52.34,overcast clouds,79,100,16.55,RU
162,Bubaque,11.2833,-15.8333,79.16,moderate rain,84,100,14.67,GW
163,Chuy,-33.6971,-53.4616,47.32,few clouds,87,14,7.38,UY
164,Alta Floresta,-9.8756,-56.0861,77.86,broken clouds,67,69,2.95,BR
165,Kismayo,-0.3582,42.5454,74.64,broken clouds,78,52,18.63,SO
166,Zavet,43.7667,26.6667,66.79,clear sky,74,5,8.1,BG
167,Kodiak,57.79,-152.4072,60.31,few clouds,59,20,5.75,US
168,Isangel,-19.55,169.2667,81.32,clear sky,69,5,5.08,VU
169,Georgetown,5.4112,100.3354,80.89,few clouds,91,20,2.3,MY
170,Moerai,-22.4333,-151.3333,71.04,light rain,65,99,28.54,PF
171,Barrow,71.2906,-156.7887,44.62,overcast clouds,76,100,10.36,US
172,Crossville,35.949,-85.0269,84.49,few clouds,78,20,4.61,US
173,Vavoua,7.3819,-6.4778,72.93,broken clouds,81,66,4.81,CI
174,Ada,43.4166,-116.1262,94.3,clear sky,14,0,10.0,US
175,Faanui,-16.4833,-151.75,77.11,broken clouds,69,82,23.64,PF
176,Saldanha,-33.0117,17.9442,55.45,scattered clouds,92,25,11.32,ZA
177,Beringovskiy,63.05,179.3167,45.25,scattered clouds,60,43,23.53,RU
178,Plettenberg Bay,-34.0527,23.3716,58.5,scattered clouds,86,38,13.47,ZA
179,Guerrero Negro,27.9769,-114.0611,83.55,overcast clouds,60,96,16.62,MX
180,Mount Isa,-20.7333,139.5,58.77,clear sky,33,0,8.05,AU
181,Ekhabi,53.5102,142.9671,55.04,overcast clouds,96,100,16.26,RU
182,Princeton,25.5384,-80.4089,86.02,overcast clouds,74,100,5.01,US
183,Katherine,-14.4667,132.2667,71.92,few clouds,64,13,5.75,AU
184,Bulungu,-4.55,18.6,79.18,overcast clouds,34,96,1.61,CD
185,Bonavista,48.6499,-53.1147,68.63,broken clouds,85,63,21.25,CA
186,Whitehorse,60.7161,-135.0538,56.1,broken clouds,77,75,2.3,CA
187,Boa Vista,2.8197,-60.6733,91.38,few clouds,46,20,6.91,BR
188,Longyearbyen,78.2186,15.6401,46.24,broken clouds,93,75,10.36,SJ
189,Bindura,-17.3019,31.3306,52.56,clear sky,47,0,1.92,ZW
190,Yerbogachen,61.2767,108.0108,49.01,overcast clouds,95,100,5.95,RU
191,Veraval,20.9,70.3667,81.25,overcast clouds,89,100,12.86,IN
192,Vardo,70.3705,31.1107,48.18,light rain,81,100,14.97,NO
193,Lasa,46.6166,10.7002,65.28,overcast clouds,90,90,1.34,IT
194,Anadyr,64.75,177.4833,46.9,scattered clouds,57,40,20.13,RU
195,Yashan,22.1975,109.9419,79.09,scattered clouds,89,28,2.77,CN
196,Karratha,-20.7377,116.8463,63.12,light rain,41,0,6.82,AU
197,Kavaratti,10.5669,72.642,80.47,overcast clouds,84,99,23.17,IN
198,Suluq,31.6682,20.2521,80.06,clear sky,68,0,8.08,LY
199,Aden,12.7794,45.0367,85.44,broken clouds,78,59,8.7,YE
200,Kota Kinabalu,5.9749,116.0724,73.38,few clouds,94,20,5.01,MY
201,Avarua,-21.2078,-159.775,77.05,few clouds,61,20,20.71,CK
202,Tornio,65.8481,24.1466,53.62,broken clouds,75,77,4.16,FI
203,Nome,64.5011,-165.4064,49.15,overcast clouds,87,100,10.36,US
204,Hithadhoo,-0.6,73.0833,81.52,overcast clouds,72,99,5.06,MV
205,Egvekinot,66.3167,-179.1667,39.16,broken clouds,40,54,13.53,RU
206,Preobrazheniye,42.9019,133.9064,73.24,overcast clouds,98,98,7.87,RU
207,Aykhal,66.0,111.5,43.99,light rain,98,100,5.08,RU
208,Muros,42.7762,-9.0603,67.68,scattered clouds,93,38,1.83,ES
209,La Ligua,-32.4524,-71.2311,49.32,scattered clouds,82,40,2.77,CL
210,Kaitangata,-46.2817,169.8464,42.12,broken clouds,57,73,12.93,NZ
211,Maslovka,51.5535,39.2357,61.32,broken clouds,41,72,2.17,RU
212,Padang,-0.9492,100.3543,73.45,broken clouds,85,70,3.02,ID
213,Cooma,-36.2333,149.1333,38.97,overcast clouds,93,100,5.75,AU
214,Puerto Madero,14.7208,-92.4215,84.22,overcast clouds,73,93,9.08,MX
215,Haines Junction,60.7522,-137.5108,64.35,overcast clouds,45,90,5.75,CA
216,Komsomolskiy,40.4272,71.7189,78.35,clear sky,26,10,1.68,UZ
217,Neuquen,-38.9516,-68.0591,40.89,light rain,87,100,4.61,AR
218,Goderich,43.7501,-81.7165,82.72,overcast clouds,69,100,10.36,CA
219,Beloha,-25.1667,45.05,60.31,clear sky,93,0,6.29,MG
220,Edgewater,28.9889,-80.9023,89.74,scattered clouds,66,40,16.11,US
221,Yelets,52.6237,38.5017,71.38,overcast clouds,42,100,4.68,RU
222,Port Macquarie,-31.4333,152.9167,57.88,scattered clouds,70,36,12.86,AU
223,Bessemer,33.4018,-86.9544,79.95,overcast clouds,94,100,0.0,US
224,Noumea,-22.2763,166.4572,75.99,broken clouds,99,65,8.32,NC
225,Luoyang,34.6836,112.4536,85.5,overcast clouds,76,94,2.71,CN
226,Qaanaaq,77.484,-69.3632,43.39,clear sky,54,3,4.65,GL
227,Bongandanga,1.5,21.05,71.19,broken clouds,90,81,1.74,CD
228,Macaubas,-13.0194,-42.6986,75.25,few clouds,47,18,8.12,BR
229,Saint Anthony,45.0205,-93.218,75.13,overcast clouds,73,100,9.22,US
230,Severo-Kurilsk,50.6789,156.125,58.51,few clouds,87,21,5.19,RU
231,San Cristobal,7.7669,-72.225,77.18,overcast clouds,76,95,3.4,VE
232,Ambovombe,-25.1667,46.0833,65.48,clear sky,88,6,8.3,MG
233,Mitchell,43.7094,-98.0298,66.18,overcast clouds,82,100,12.66,US
234,Yuzhnyy,53.2542,83.6936,64.78,clear sky,59,0,4.47,RU
235,Salalah,17.0151,54.0924,75.29,mist,100,100,4.61,OM
236,Tasiilaq,65.6145,-37.6368,44.76,moderate rain,98,100,6.87,GL
237,Maine-Soroa,13.2114,12.0241,84.78,overcast clouds,59,100,12.03,NE
238,Dingle,10.9995,122.6711,75.52,overcast clouds,91,99,3.53,PH
239,Derbent,42.0678,48.2899,76.21,overcast clouds,64,93,2.84,RU
240,Samarai,-10.6167,150.6667,80.65,broken clouds,73,52,13.2,PG
241,Yatou,37.15,122.3833,83.64,moderate rain,85,100,8.34,CN
242,Port Lincoln,-34.7333,135.8667,49.1,clear sky,73,1,6.64,AU
243,Saint George,37.1041,-113.5841,103.95,clear sky,15,0,5.99,US
244,Tessalit,20.1986,1.0114,96.13,broken clouds,14,80,2.71,ML
245,Sistranda,63.7256,8.834,49.96,broken clouds,75,63,1.9,NO
246,Ville-Marie,47.3335,-79.433,57.42,overcast clouds,94,100,2.13,CA
247,Teya,60.3778,92.6267,54.7,scattered clouds,89,36,1.03,RU
248,Inirida,3.8653,-67.9239,78.53,overcast clouds,81,92,2.8,CO
249,Kungurtug,50.5994,97.5228,48.58,broken clouds,56,73,1.23,RU
250,Juneau,58.3019,-134.4197,59.85,overcast clouds,91,100,9.22,US
251,Tilichiki,60.4667,166.1,61.68,overcast clouds,56,100,6.33,RU
252,Iqaluit,63.7506,-68.5145,44.33,scattered clouds,87,40,5.75,CA
